,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
55,Ghar More Pardesiya,Kalank,"Shreya Ghoshal, Vaishali Mhade",Pritam,Amitabh Bhattacharya,2019,"Raghukul reet sada chali aayi Pran jaye par vachan na jaayi Jai raghuvanshi ayodhyapati Ram Chandra ki jai Siyavar Ram Chandra ki jai X (2) Ta di ra na dheem De re ta na de re naam Ta di ra na dheem De re ta na de re naam Ta di ra na dheem Raghuvar teri raah niharein Raghuvar teri raah niharein Saaton janam se siya Ghar more pardesiya Aao padharo piya x (2) Sargam.. Na to maiya ki lori Na hi phagun ki hori Mohe kuchh dusra na bhaaye re Jabse naina yeh jaake Ik dhanurdhar se laage Tabse birha mohe sataye re Duvidha meri sab jag jaane Jaane na nirmohiya Ghar more pardesiya Aao padharo piya x (2) Gayi panghat par bharan Bharan paniyan deewani Gayi panghat par bharan Bharan paniyan Ho nainon ke, nainon ke tere baan se Murchhit huyi re hiraniya Jhoom jha na na na na na na na Jhoom jha na na na na na na na Bani re bani main teri joganiya Ghar more pardesiya Aao padharo piya x (2)"
56,Bulleya,RAW,"Rabbi Shergill, Shahid Mallya",Sohail Sen,Ashok Punjabi,2019,"O bulleya x (3) Akh chakk lo janaab Thoda takk lo janaab Sohna mukh vekh ke kamaal ho gaya Arre akh chakk lo janaab Thoda takk lo janaab Tera takkna bemisal ho gaya Ho saddi marzi si shareaam mar gaye Husna de teer sadde utte chal gaye Ho sath tera wah kamaal ho gaya O bulleya, dil kithe chaleya x (4) Akh chakk lo janaab Thoda takk lo janaab Sohna mukh vekh ke kamaal ho gaya Akh chakk lo janaab Thoda takk lo janaab Tera takkna bemisal ho gaya Ho saddi marzi si shareaam mar gaye Husna de teer sadde utte chal gaye Ho sath tera wah kamaal ho gaya O bulleya, dil kithe chaleya x (4) O bulleya x (2) Ho ishqe de badli barsa Ho jaa tu meri tarfa Tere peechhe main to saara jag bhulleya Aakhein hai kitni sohni Kaajal main banke sohni Main to teri aakhon mein hi jaun ghulleya Ho dekh le nazare karte ishaare Main nahi kehta kehte hain saare Ho sath tera wah kamaal ho gaya O bulleya, dil kithe chaleya x (4) Aakhon mein zyada sapne Pyar ke liye hain rakhne Neendon ne rahaton ka buha kholeya Dil mein jo armaan dhak le Ummeedon se zyada rakh le Manzil mein khushiyon ka rang doleya Ho ek ek karke rang le nazaare Hathon mein bhar ke khushiyon ke taare Ho aath tera wah kamaal ho gaya O bulleya, dil kithe chaleya x (4)"
57,Teri Mitti,Kesari,B Praak,Arko,Manoj Muntashir,2019,"Talwaron pe sir vaar diye Angaron mein jism jalaya hai Tab jake ke kahin humne sir pe Yeh kesari rang sajaya hai Ae meri zameen afsos nahi Jo tere liye sau dard sahe Mehfooz rahe teri aan sada Chaahe jaan meri yeh rahe na rahe Ae meri zameen mehboob meri Meri nass nass mein tera ishq bahe Feeka na pade kabhi rang tera Jismon se nikal ke khoon kahe Teri mitti mein mil jawan Gul banke main khil jawan Itni si hai dil ki arzoo Teri nadiyon mein beh jawan Tere kheton mein lehrawan Itni si hai dil ki arzoo Sarson se bhare khalihaan mere Jahan jhoom ke bhangda paa na saka Aabaad rahe woh gaanv mera Jahan laut ke waapas ja na saka Ho watna ve, mere watna ve Tera mera pyar nirala tha Kurban hua teri asmat pe Main kitna naseebon wala tha Teri mitti mein mil jawan Gul banke main khil jawan Itni si hai dil ki arzoo Teri nadiyon mein beh jawan Tere kheton mein lehrawan Itni si hai dil ki arzoo Ho Heer meri tu hansti rahe Teri aankh ghadi bhar namm na ho Main marta tha jis mukhde pe Kabhi uska ujala kam na ho Ho maayi meri kya fikar tujhe Kyun aankh se dariya behta hai Tu kehti thi tera chaand hoon main Aur chand hamesha rehta hai Teri mitti mein mil jawan Gul banke main khil jawan Itni si hai dil ki arzoo Teri nadiyon mein beh jawan Tere kheton mein lehrawan Itni si hai dil ki arzoo"
58,Safar,Notebook,Mohit Chauhan,Vishal Mishra,Kaushal Kishore,2019,"Oh bandeya dhoondhe hai kya Raahein teri hai ghar tera Chalna wahan, jaana wahan Khudtak kahin pahunche jahan Kadam utha aur sath mein ho le Shehar shehar yeh tujhse dekho bole Tukar tukar yoon apne naina khole Zindagi pee le zara Behti hawaoan ke jaise hain iraade Udte parindon se seekhi hain jo baatein Anjani raahon pe koyi main chala Main safar main hoon Khoya nahi x (4) Thoda aage bhadhein maine jaana Yeh sach hai to kya hai Uljhe uljhe sab sawaal Zindhgi hai kya, main kaun hoon Maine yeh jaana Mujhe mil hi gaye sab jawab Dekho na hawa kaanon mein mere kehti kya Boli wekh Fareeda mitti khuli Mitti utte Fareeda mitti dulli Chaar dina da jee le mela duniya Phir jaane hona kya Behti hawaoan ke jaise hain iraade Udte parindon se seekhi hain jo baatein Anjani raahon pe koyi main chala Main safar main hoon Khoya nahi x (2) Yeh kaisa safar hai jo yoon duba raha Ja paaun kahin main ya laut ke aa raha Woh chehre woh aakhein, woh yaadein Purani mujhe poochhti Yeh nadiya ka paani bhi behta hai kehta yehi Main safar main hoon Khoya nahi x (3)"
59,Laila,Notebook,Dhvani Bhanushali,Vishal Mishra,"Abhendra Upadhyay, Vishal Mishra",2019,Mere sar pe hogi dhun teri Tere sar pe mera fitoor hoga Mujhe tum pe naaz hai jitna Tumhe mujh pe utna guroor hoga Main Laila ki tarah Tu Majnu sa mash-hoor hoga Dekhna na yeh ek din zaroor hoga x (3) Chandni se dhoop tak Wahin pe bikhregi Jis jagah milenge hum Yeh dekhna Aasman bhi tutega Zameen bhi pighlegi Jis jagah milenge hum Yeh dekhna Bechaniyon ka sama rahega Hoga yeh bhi dekhna Dard main yeh jahaan rahega Hoga yeh bhi dekhna Haan yehi hoga Thoda thoda tera hoga Thoda thoda mera kasur hoga Main Laila ki tarah Tu Majnu sa mash-hoor hoga Dekhna na yeh ek din zaroor hoga x (3)
60,Ajj Singh Garjega,Kesari,Jazzy B,Chirrantan Bhatt,Kunwar Juneja,2019,"Kesari Rang ka matlab samajhte ho Bahaduri ka rang hai, shaheedi Ka Papg rang kesari Te gale vich gaani Baanh vich kada Yeh hai Singh di nishani Papg rang kesari Te gale vich gaani Baanh vich kada Ye hai Singh di nishani Chaudi chhaati dull dull Paindi hai jawani Singh mashoor saare Dinde ne salami Ik ik Singh sawa lakh utte bhaari Ik ik Singh sawa lakh utte bhaari Vairiyan da dil tej dhadkega Chakk lai hunn hathyar Ve ajj Singh garjega Chak le hun hathyaar Ve aaj Singh garjega Chakk lai hunn hathyar Ve ajj Singh garjega Chak le hun hathyaar Ve aaj Singh garjega Ajj meri pagdi bhi kesari Jo bahega mera lahu bhi kesari Aur mera jawab bhi kesari Garjega, ve ajj Singh garjega Garjega, ve ajj Singh garjega"
61,Mind Na Kariyo Holi Hai,Milan Talkies,"Mika Singh, Shreya Ghoshal",Rana Mazumder,Amitabh Bhattacharya,2019,"Holi hai! Ho purple hai T-Shirt hamaar Tohri yellow color ki chunariya Ghalti se ik baar daal do ri Humpe bhi tirchhi nazariya Lipistic ka rang tera Jaise ho bhang chadha Humpe jo slowly slowly hai Kuchhu mind na kariyo holi hai Kuchhu mind na kariyo holi hai Kuchhu mind na kariyo holi hai Kuchhu mind na kariyo holi hai Mujpe hai yoon rang daalte Tujhko bata kya tassali milti hai Arre mauka bhi hai, dastoor bhi Itti si to chhedkhaani chalti hai Tera welcome dumdaar Karun aaja dildaar Maine rangon main chappal bhigo li hai Kuchhu mind na kariyo holi hai Kuchhu mind na kariyo holi hai Kuchhu mind na kariyo holi hai Kuchhu mind na kariyo holi hai x (2)"
62,Aukaat,Badla,"Amitabh Bachchan, Clinton Cerejo, Jizzy",Clinton Cerejo,Siddhant Kaushal,2019,Dardnaak dhaak ki Badal de tu khurak re Majaak jo udayega Chamaat de phataak se Dar nahi to ghis gayi Jo teri teekhi naak yeh Tu maang bas khuda se Hausle ki ek shabak re Cheetiyon ki nasal pe dhyan de zara Jo ro ke na uthati dana cheeni ka Aukaat ko badal de Din hai shaant woh badal de Tera agla pichhla Tu badal le ke badla Tu dooje nazariye se dekh Woh dikhege danav jo dikh rahe the nek Bheje ko khol samne to dekh Aise kisi ke samne bhi maatha na tek Dekh tu upar se Dekh tu right se Bhaanp le khatra tu har ik side se Sikke ka teesra pehlu tu dekh Museebat ko bol do ghisenge side pe Masal ka thoda akal se dekh Tu chhodna kasar nahi Gaad mat beizzati ke beej ugegi Gandi fasal hi gutter si Jo kaale ujale main palti Phir aage na jaake badalti Raaton ne tujhko jo badla Tu lele to khud ka badla Yoon dar ke baith ke na hakagka Aukaat ko badal de Din hai shaant woh badal de Tera agla pichhla Tu badal le ke badla Badla!
63,Nai Lagda,Notebook,"Vishal Mishra, Asees Kaur",Vishal Mishra,Akshay Tripathi,2019,"Palkon pe oss sa Tera naam saja ke Rakhta hoon yaar main Tujhe khwaab bana ke Har kisse pe har panne pe Tujhko padhta hai Phirta rehta hai paagal sa Bas ye kehta hai Ke tujh bin Ke tujh bin nai lagda, jee nai lagda Haye nai lagda, jee nai lagda haye Nai lagda jee mera mahiya x (2) Kaisi duayein, kaisi yeh sadaayein Dil kyun tumhara sunnta hi nahi Tujhko bulayein, tujhko hi chaahein Dil kyun yeh mera rukta hi nahi Ke mera har lamha Mera ik hissa ban jana Meri khwaahish jo bhi saari Poori kar jana Ke tujh bin Ke tujh bin nai lagda, jee nai lagda Haye nai lagda, jee nai lagda haye Nai lagda jee mera mahiya x (2)"
64,Sanu Kehndi,Kesari,"Romy, Brijesh Shandilya",Tanishk Bagchi,Kumaar,2019,"Aaha aaha! Patiala suit mainu Ajj silwa de ve Mahi mainu sone diyan Baaliyan manga de ve x (2) Lai chal mele, haanji! Mera tang haal Na tu khich meri khaal Chhad mainu tadpana Sanu kehndi Ki kehndi? Oh sanu kehndi tu lai de jhanjhar Nai te mar jaana Oh sanu kehndi tu lai de choodi Nai te mar jaana x (2) Goli jaise chaldi ae Dhan dhan dhan dhan Gussa jadd kardi ae oh Nakhre dikhave sanu Ban thann thann Jadon sajdi sanwardi ae oh x (2) Kardi aakhar, haanji Thode di de baadar, haanji Mera tang haal Na tu khich meri khaal Chhad mainu tadpana Sanu kehndi Ki kehndi? Oh sanu kehndi tu lai de jhanjhar Nai te mar jaana Oh sanu kehndi tu lai de choodi Nai te mar jaana x (2)"
65,Bakaiti,Milan Talkies,"Sukhwinder Singh, Benny Dayal",Rana Mazumder,Amitabh Bhattacharya,2019,"Dhat teri, teri zamana Humko thenga fikar Apna bheja hai tamancha Dil hai pressure cooker x (2) Dil ki karenge, nakko darenge Dil ki karenge, nakko darenge Duniya ko dikha dein aa zara Bakaiti, bakaiti x (4) Dhat teri, teri zamana Humko thenga fikar Apna bheja hai tamancha Dil hai pressure cooker Hum to deewar wale Bachchan ke fan hain Is ilaake ke angry young man hain Aaya gussa jhat se collar pakad liya Apne culture mein Please kehne pe ban hai Jinko zaroori hai jee hazoori Jinko zaroori hai jee hazoori Unpe aazmayein aa zara Bakaiti, bakaiti x (4) Naukri ki talaash mein bhaagte nahi Mil gayi to kubool hai maangte nahi Ho aane wali subah kya leke aayegi Raat bhar intezar mein jaagte nahi Be-rozgaari ne jeb maari Be-rozgaari ne jeb maari Badle mein humara paintra Bakaiti, bakaiti x (4) Dhat teri, teri zamana Humko thenga fikar Apna bheja hai tamancha Dil hai pressure cooker Dil ki karenge, nakko darenge Dil ki karenge, nakko darenge Duniya ko dikha dein aa zara Bakaiti, bakaiti x (4)"
66,Duniya,Luka Chuppi,"Akhil, Dhvani Bhanushali",Abhijit Vaghani,Kunaal Vermaa,2019,"Bulave tujhe yaar ajj meri galiyan Basaun tere sang main alag duniya x (2) Na aayein kabhi dono mein zara bhi faasle Bas ek tu ho, ek main hoon aur koyi na Hai mera sab kuchh tera tu samajh le Tu chaahe mere hakk ki zameen rakh le Tu saanson pe bhi naam tera likh de Main jiyun jab-jab tera dil dhadke Jis’se mera yeh jee nahi bharta Kuchh bhi nahi asar ab karta Meri raah tujhse, meri chaah tujhse Mujhe bas yahin reh jaana Lagi hain  teri aadatein mujhe jab se Hain tere bin pal bhi baras lagte Bulave tujhe yaar ajj meri galiyan Basaun tere sang main alag duniya Jo hove tu udaas mujhe dekhe hans de Tu chaahe mere hakk ki zameen rakh le Tu saanson pe bhi naam tera likh de Main jiyun jab-jab tera dil dhadke Tujhse mili to seekha maine hasna Aaya mujhe safar mein theharna Main to bhool gayi duniya ka pata Yaara jab se tujhe jaana Hai tu hi dil jaan hai meri ab se Na zikra tera na jaaye mere lab se Bulave tujhe yaar ajj meri galiyan Basaun tere sang main alag duniya Jo hove tu udaas mujhe dekhe hans de Tu chaahe mere hakk ki zameen rakh le Tu saanson pe bhi naam tera likh de Main jiyun jab jab tera dil dhadke Pyar di raahwan utte yaar tu le aaya Mainu jeene da matlab aaj samajh aaya Paraya mainu karna na tu sohneya Channa main to rull jaana"
67,Kyun Rabba,Badla,Armaan Malik,Amaal Mallik,Kumaar,2019,Dil hanste hanste ro pada Dard aasuon mein hai bada Dil haste haste ro padaa Dard aansuon mein hai bada Tooti sabse yaari Main toh zindagi se haari Gayi saanson ko dukha ke Kaha pe ye hawa Kyun rabba is kadar todeya ve Ke ek tukda na chhodeya ve Dhadakane ki liye dhadkanon mein Kuchh na bacha Kyon rabba is qadar todeya ve Ke ek tukda na chodeya ve Dhadakane ki liye dhadkano mein Kuch na bacha
68,Tu Laung Main Elaachi,Luka Chuppi,Tulsi Kumar,Tanishk Bagchi,Harmanjit,2019,"Charkha cooker denda Cooker lage kalege Ik mera peya dhadke Dooja kangan chhnake Chhaneya, charkha cooker denda Chhaneya, cooker lage kalege Chhaneya, ik mera peya dhadke Chhaneya, dooja kangan chhnake Ve tu laung main elaachi Tere pichhe haanji haanji x (2) Tere ishqe ne maari Kachi kali ae kanwari x (2) Hoon main chambe de pahadon Wali shaam sajna Sandli sandli nainon mein Tera naam sajna x (3) Chhaneya, charkha cooker denda Chhaneya, cooker lage kalege Chhaneya, ik mera peya dhadke Chhaneya, dooja kangan chhnake Mere khaali khaali pair Jaata rehta hai tu shehar Tujhse maangu na main zyada Laa de payaliya oh raja JO bikti bazaron mein sareaam sajna Sandli sandli nainon mein Tera naam sajna x (2) Chhaneya, charkha cooker denda Chhaneya, cooker lage kalege Chhaneya, ik mera peya dhadke Chhaneya, dooja kangan chhnake"
69,Speaker Phat Jaaye,Total Dhamaal,"Harrdy Sandhu, Abuzar Akhtar, Aditi Singh Sharma, Jonita Gandhi",Gourov-Roshin,Kumaar,2019,"Oh meri Lady Gaga Dil tere pichhe bhaaga Na soya, na yeh jaaga Ishq hai taaza taaza Aaja baahon mein aaja Mere sang kamar hila ja Naachte naachte raat saari kat jaaye Koyi song baja speaker phat jaaye Gaane mein bomb laga speaker phat jaye Total karein dhamaal speaker phat jaaye Speaker phat jaye! Desi feeling wale iraade tere kaale Teri nazron ko pehchanun Chaahe chashma tu laga le Neeyat teri fraud lage Jhootha by God lage Naache mujhe touch karke Ajeeb sapne sach karke Naachte naachte raat saari kat jaaye Koyi song baja speaker phat jaaye Gaane mein bomb laga speaker phat jaye Total karein dhamaal speaker phat jaaye Speaker phat jaye!"
70,Photo,Luka Chuppi,Karan Sehmbi,Goldboy,Nirmaan,2019,Main dekhun teri photo Sau sau baar kude x (2) Ke uthde tufaan seene vich Sau sau baar kude x (2) Tu sapne mein aa hi jaati hai Tu neend udaa hi jaati hai Tu sapne mein aa hi jaati hai Tu neend udaa hi jaati hai Tu mil ek vaar kude Main dekhun teri photo Sau sau baar kude Ke uthde tufaan seene vich Sau sau baar kude Main dekhun teri photo Deewana toone kar diya Aise tere bin ab reh na sakoon Dil ki baat tujhe aakar main Keh na sakoon x (2) Meri good morning tu hai Meri good night bhi tu Yeh duniya wrong lage Meri liye right bhi tu Tu ban meri raani kude Deewana nirmaan kude Tu kar ehsaan kude Main dekhun teri photo Sau sau baar kude Ke uthde tufaan seene vich Sau sau baar kude Main dekhun teri photo
71,Jhumka Bareli Wala,SP Chauhan,"Dev Negi, Harshdeep Kaur, Jonita Gandhi, Navraj Hans, Wasim",Vibhas,Dr Devendra Kafir,2019,"Ni aa jao, ni aa jao Chal milke gidda paaiye Chham chham kar diyan ye muteyara Nach nach, oye nach nach Nach nach laiyan enna dholkan ne bhaariyan Gidde vich nachdi phiran Ve sohneya gidde vich nachdi phiran Ve haaniya gidde vich nachdi phiran Jhumka bareli wala kaanon mein paa ke Kajra mohabbat wala akh mein laga ke Baithi hoon kabse main to mehandi laga ke Le ja tu mujhko helicopter pe aake Pehle aake laga de ek thumka Girne de tera jhumka Hila ke tera lakk sohniye Dil nu gayi tu mere jach sohniye Ho nach nach nach aaja nach sohniye Dil nu gaya tu mere jach sohneya Nach nach nach aaja nach sohneya Maahi vall rang vich rang-dhang aise Gora gora rang tera nakhra kamaal ae vekh vekh mundeya da hoya bura haal ae Vaari vaari gall na tu saanu ae sunayi ja Hath naiyo aana aivein nain na ladayi ja Balle oye shava, oye shava shava shava Ho aaj saari raat karna dhamaal hai Achcha! Ho billo bhangde de vich tere naal Pehle aake laga de ek thumka Girne de tera jhumka Hila ke tera lakk sohniye Dil nu gayi tu mere jach sohniye Ho nach nach nach aaja nach sohniye Dil nu gaya tu mere jach sohneya Nach nach nach aaja nach sohneya Baari barsi khatan gaya te Khat ke leyanda laddu Hoye hoye hoye hoye hoye hoye balle Baari barsi khatan gaya te Khat ke leyanda laddu Kapde dhondi nu Akh maar gaya daddu x (3) Badi sohni jodi dekho Rab ne banai hai Aaj ke ghadi yeh yaaron Khushi leke aayi hai x (2) Sabko naseeb hove tere jaisa haani ve Pyar naal bhari rahe teri zindghani ve Ho chadha mehandi ka rang guhda laal hai Hai rehna saaton janam tere naal Pehle aake laga de ek thumka Girne de tera jhumka Hila ke tera lakk sohniye Dil nu gayi tu mere jach sohniye Ho nach nach nach aaja nach sohniye Dil nu gaya tu mere jach sohneya Nach nach nach aaja nach sohneya x (2)"
72,Kis Mod Tey,SP Chauhan,Ranjit Bawa,Vibhas,Dr Devendra Kafir,2019,Maula mere saiyan Main maula mere x (2) Kis mod tey lai aayo rabba Eh kis zurm diyan ae sazawan ne Ho ro ro ke hanju puchhde ne Dum tod gaiyan kyon duawan mein haye Ki chhad challeya Ki lai challeya Ehe sochde aan Behke kalleyan Ho jis agg vich marke balde ne Uss agg vich jyonde jee balleya Maye ni main kidre jaawan Maye ni main kidre jaawan Kidre jaawan Maye ni main kidre jaawan Maye ni main kidre jaawan Kidre jaawan haan
73,Coca Cola,Luka Chuppi,"Tony Kakkar, Neha Kakkar, Young Desi",Tony Kakkar,"Tony Kakkar, Mellow D",2019,"Sawali saloni adayein manmohni Teri jaisi beauty Kisi ki bhi nai honi Thande ki bottle Main tera opener Tujhe ghat ghat main pee loon Coca Cola tu Shola shola tu Ae ae ae gym shym karta hoon Ted mera lead aan Ni tu boldi aen gallan Jivein chaldi machine aan Ni tu 24vi ghante vekhdi aen Scooby Dooby Doo Hale rehn de tu na boli I Love You Pehle khol le tu bottle Galiyon peh jaave raula yoon Ki saare bole tujhe Coca Cola tu Ae ae ae Coca coca coke coke coke coke Na samajh tu coca cola Main to whiskey di bottle Mera ek sip hi hai kaafi Hone ko no shot Chakhna mana hai Rukna mana hai Mujhe pee le zara aa tu Coca Cola tu Shola shola tu x (2) Tu meri, tu meri Haaye dil ki pyaas bujhana Tu meri, tu meri Din bhar ki thakan mitana Coca Cola tu Shola shola tu x (2)"
74,Marham,-,Sonu Nigam,Vibhas,Abhendra Kumar Upadhyay,2019,Woh jo kabhi sardiyon mein dhoop si thi Garmiyon mein chhanv si maujoodgi teri Kahan gayi Woh patjhad ke mausamon mein Ek haryali si jo laaye the Woh baarishein kahan chali gayi Ab aakhein meri tujhe dhoonda karein Tu mile na agar to yeh roya karein Faasle yeh kam karoon Main kisi tarah Dard mein marham banu Main kisi tarah x (2) Mere maathe pe silwatein jo hain Aake inhein mita do na Aansu mere bhatakte phirte hain Aake inhein panaah do na Kuchh kami si hai Kuchh nami si hai Aansuon se bhara hoon main Band teri aankhein jab se hain Saans roke khada hoon main Saans roke khada hoon main Zakham ko tere bharoon Main kisi tarah Dard mein marham banu Main kisi tarah
75,Paisa Yeh Paisa,Total Dhamaal,"Dev Negi, Subhro Ganguly, Arpita Chakraborty",Gourov-Roshin,Kunwar Juneja,2019,"Gulaabi note jaise hoth Kudiyan de bang bang lagde Day ho ya night paise wale De mobile bang bang bajjde Money da swag super Koyi na isse upar Machata hai yeh total dhamaal La la la la la.. Ek do teen char Paanch chheh saat aath La la la la la.. Ek, paisa yeh paisa Do, jaisa hai kaisa Teen, nahi koyi aisa Chaar, jaisa yeh paisa Paanch, yeh ho museebat Chheh, na ho museebat Ho museebat, na ho museebat Saat aath nau dus x (2) La la la la la.. Ek do teen char Paanch chheh saat aath"
76,Poster Lagwa Do,Luka Chuppi,"Mika Singh, Sunanda Sharma",White Noise Studios,White Noise Studios,2019,"Ho yeh khabar chhapwa do akhbaar mein Poster lagwa do bazar mein x (2) Ho ek ladka, ek ladki Ek ladka, ek ladki Ek ladka ladki ladka ladki Ladka ladki, ladka ladki Ho dono pagal ho gaye pyar mein Ho dhoondne ko pyaar mein Ghooma hoon gulli gulli Tu jo mil gayi To dil ko mil gayi tasalli Dhoondne ko pyaar mein Ghoomi hoon gulli gulli Tu jo mil gaya To dil ko mil gayi tasalli Ab jo mile hain hum tum Aa ho jayein khalli balli Yeh na ho fass jaye Yeh na ho fass jaye Yeh na ho, na ho, na ho Na ho jaye jaye jaye jaye Dono is sansar mein Ho yeh khabar chhapwa do akhbaar mein Poster lagwa do bazar mein x (2) Ho ek ladka, ek ladki Ek ladka, ek ladki Ek ladka ladki ladka ladki Ladka ladki, ladka ladki Ho dono pagal ho gaye pyar mein"
77,Ishq Ki Gali,SP Chauhan,"Sonu Nigam, Miss Pooja",Vibhas,Abhendra Kumar Upadhyay,2019,Nariyal sa gol gol dil hai mera ghoomta Raatein kanoon ke hath se thi lambi Jab se tera sticker aake mujhpe chipka Mehanga hua main pehle tha raddi Kyun ki aaj hi Kyun ki aaj hi Kyun ki aaj hi Salim mila Anarkali se Chalo niklo niklo ishq ki patli gali se Chalo niklein niklein Ishq ki patli gali se x (3) Cycle ki tarah chalti thi dhadkan Raftaar rocket ki aayi kahan se Tere bhi armaan lazy the lazy Toone yeh furti laayi kahan se Aag lagi kahin nikla dhuan kahin se Chalo niklein niklein Ishq ki patli gali se x (4) Hothon ke brij pe Rakh loon main lease pe Aaja tujhe love you bana ke Dil mein tere baad aaye na koyi Koshish main kar doon curfew laga ke Humein search na koyi kar paaye Chalo wahin pe Chalo niklein niklein Ishq ki patli gali se x (4)
78,Har Gham Mein Khushi Hai,-,Ace,"Ace, IshQ Bector",Ace,2019,"Ace! Sab hai dekha, sab hai jaana Yeh pehchana aur yeh maana Zindagi to hai mukaabla Jise jeet ke dikhana Main sayana hoon beghana Leke aaya tha tarana Aur yeh gaana jaise karma Sunke laga tujhko laama Roz ka drama aur hungama Mere pichhe rahte mama Jaise mere jeb mein ganja Kuchh badhta hai yeh maajra Woh kehte chhote jaana Phat phat se tu samaan la Chalata dhoop zhala Phir aaya yeh ujala Main nirala tha anjana Apne aap ko sambhala Apne aap ko sambhala Maine badli meri dhara Apne aap se judaa tha Main tha jeet ke bhi hara Maa baap mein khuda hai Yeh pahchana aur yeh mana Nibhata hoon main vaada Jo kamaya seedha sadha Parivar pehle aata Mere pyar meri mata Thoda dumm na chillam Poori kare meri aasha Mere gham aur sitam Main ho dhuyein mein udata Jo bhi galat woh sahi hai Yeh alag zindagi hai Talab si lagi hai Har gham mein khushi hai x (4) Jispe rakhte hum bharosa Wohi deta humein dhoka Yeh jo mauka toone chhoda Usne pakda maara chauka Jo na hona woh hai hota Jo na hota woh hai hona Agar sath hai sapnon ka Sar pe hath hai apnon ka Kal kya hoga yeh na socha Maa kasam main tha tangg Mere yaar mere sang Apne aap mein magan Woh to khud ki bhi na sunein Apna style hai dabang Mere shehar mein hai dum Main hoon haaji malang Alag mera dhang Dimaag rehta bhang Nakli rapperon ko dung When I am living at umang Main hoon sahi ya galat Aake leelo mera Ja tu mar, bolti band Ab na bach ,chalta ban Haqikaat se lad Tu to kabhi na palat Tu parakh, tu samajh Tu to kabhi na bhatak Jeeti haar se seekha Main hoon sabse sarash Tu bhi maar ke dikha Ab to jaan apna sach Jo bhi galat woh sahi hai Yeh alag zindagi hai Talab si lagi hai Har gham mein khushi hai x (4)"
79,Jeene Mein Aaye Maza,Gully Boy,Ankur Tewari,"Ankur Tewari, Mikey McCleary",Ankur Tewari,2019,Tarazu ke bas do thaal hain Ek ore hum dooje mein khwaab hain Zindagi yeh pareshaan hai Zindagi yeh pareshaan hai Ganimat hai tu yahan Jeene mein aaye maza Khareeda nahi jaata khwaab hai Kiraya bhi aisa lajawab hai Zindagi yeh pareshaan hai Ganimat hai tu yahan Jeene mein aaye maza Tu jo mila jaaga khwaab hai Khoyi huyi meri kitaab hai Muskaya sa aadaab hai Jeene mein aaye maza Sustaye mausam aabaad hain Hawaon ke rukh humse naaraz hain Zindagi yeh pareshaan hai Ganimat hai tu yahan Jeene mein aaye maza Tu jo mila chhida saaz hai Khamoshi ko mili aawaaz hai Behti hawa sa ehsaas hai Jeene mein aaye maza Bigda hua hisaab hai Thoda nafa thoda nuksan hai Zindagi yeh pareshaan hai Ganimat hai tu yahan Jeene mein aaye maza
80,Kab Se Kab Tak,Gully Boy,"Ranveer Singh, Vibha Saraf","Ankur Tewari, Karsh Kale","Kaam Bhaari, Ankur Tewari",2019,Koyi to ho jo humko humse mila de Koyi dikha de woh raasta Koyi to ho jo humko yeh bata de Khud se hote hain khud kaise juda Maine sabse poochh ke yeh Kab se kab tak humse ragbat x (3) Aa kab se kab tak Aa kab se kab tak humse ragbat Main sochun har ghadi Yeh sar chadhi talab hai ya Ya inki bad-badi pe dil mera dhadak gaya Yeh besabar hain aaj Kehna chaahein tujhko kuchh Tu mujhse khush to baant le na mera Humko humse mila de Humko humse mila de Hai dosti jo tumse kar li Kab se humne jaise Yeh roshni hai tab se Toote taare roothe rab se Kya jaadugari kari toone hai chhori re Chori kiya dil chori chori chori re Kya sapne humne bhi Saja rakhe hain khubsoorat Aashiqui hai hadh se zayda Ishq mein hoon tere moorat Mila de humko humse Ghum ko dhang se mehsoos karun Tere sang main tere sapne Apne mehfooz rakhun Mujhko chahiye tera ishq ka nasha Aur tujhko chahiye Mere dil ke tukdon ka maza Dekho mujhko na bata de mujhko Haal-e-dil tumahara bhi Thukrao na yoon rishte ko To jaano dil humara bhi Maine sabse poochh ke yeh Kab se kab tak humse ragbat x (3) Aa kab se kab tak Aa kab se kab tak humse ragbat Zindagi zehar ka pyala Pee liya piya ke naam Jee gaye to duniya haare Gir gaye gira ke jaam Mushkilon se mushkilon ki Mushkilein sambhaali hai Mushkilon ki kajri gaa ke Kashtiyan sanwari hain Humne bhi wafa ki humne Humne bhi daga ki hai Humne hi judayi jeeti Humne hi sadaa ki hai Humne tujhko paake khoya Humne tujhko kho ke paya Humne tere vaaste Yeh likh di hai kawwali ke Nazron ke yeh kaale ghere Inmein hi sama lo na Apne main bana loon inko De do mujhko taalo na Main chhod jaata duniya Laapta sa ho jo jaata To kya tu khojta Main sapne odh so jo jaata Main rok paata khud ko Iss jhamele se to Kehta na yoon tujhko Ke tu mujhko ab akele chhod Maine sabse poochh ke yeh Kab se kab tak humse ragbat x (3) Aa kab se kab tak Aa kab se kab tak humse ragbat
